bid_id,product_id,user_id,bid_amount,bid_date,bid_status
1,11,32,141056081,2024-05-10,Sent
2,4,22,210393502,2024-05-07,Sent
3,28,100,336791180,2024-02-19,Sent
4,34,73,383948791,2023-11-24,Sent
5,37,35,183083131,2024-10-05,Sent
6,8,4,115956856,2024-02-26,Sent
7,35,32,129666042,2024-11-10,Sent
8,5,1,122333879,2023-12-24,Sent
9,29,5,119266011,2024-01-16,Sent
10,11,75,138805043,2024-08-25,Sent
11,21,8,156479061,2024-11-10,Sent
12,3,35,165868696,2024-01-14,Sent
13,26,8,197799765,2023-12-12,Sent
14,21,41,177073261,2024-03-27,Sent
15,33,8,241533307,2023-12-09,Sent
16,12,91,146992215,2024-03-02,Sent
17,26,43,175058920,2024-02-10,Sent
18,27,54,186903599,2024-05-03,Sent
19,16,8,95545263,2024-07-27,Sent
20,15,31,88386782,2024-04-18,Sent
21,16,3,83444926,2024-08-08,Sent
22,32,38,193045336,2023-11-25,Sent
23,29,83,108787562,2024-05-22,Sent
24,29,100,125822659,2024-08-13,Sent
25,17,75,103876243,2023-11-27,Sent
26,36,58,165603793,2024-10-19,Sent
27,25,50,228697356,2024-01-17,Sent
28,30,67,405922361,2024-09-26,Sent
29,28,7,356521907,2024-05-19,Sent
30,27,19,195330835,2024-09-24,Sent
31,11,84,120891460,2023-11-24,Sent
32,23,57,165121421,2024-10-15,Sent
33,36,84,162097399,2024-10-12,Sent
34,35,99,134027050,2024-02-12,Sent
35,23,40,152260503,2024-07-02,Sent
36,19,44,92892418,2024-11-12,Sent
37,24,12,219247516,2023-12-13,Sent
38,22,34,200938547,2024-06-10,Sent
39,18,24,104548296,2024-04-21,Sent
40,11,9,118861445,2024-05-31,Sent
41,20,62,220159143,2024-05-20,Sent
42,26,21,189551280,2023-12-08,Sent
43,14,66,95617854,2024-06-03,Sent
44,23,81,148408812,2024-02-07,Sent
45,25,78,274489029,2024-05-30,Sent
46,31,23,360193871,2024-11-12,Sent
47,37,59,151008522,2023-12-15,Sent
48,17,49,94356349,2024-09-23,Sent
49,13,64,117806512,2023-12-18,Sent
50,25,32,227606348,2024-06-17,Sent
51,6,85,106777709,2024-02-13,Sent
52,1,23,173715508,2024-03-11,Sent
53,25,30,247597639,2024-06-17,Sent
54,1,12,185718494,2024-04-11,Sent
55,10,95,121077209,2024-01-28,Sent
56,28,70,376294143,2024-09-10,Sent
57,30,59,378586886,2024-09-29,Sent
58,18,43,106088690,2024-04-04,Sent
59,25,27,274516098,2024-10-02,Sent
60,32,29,191559947,2024-11-10,Sent
61,31,67,349130731,2024-09-27,Sent
62,2,15,226125192,2023-12-15,Sent
63,4,11,237017650,2024-05-19,Sent
64,17,76,99943025,2023-12-09,Sent
65,19,75,87029370,2024-03-13,Sent
66,13,87,105113963,2024-03-20,Sent
67,15,74,90977283,2024-03-27,Sent
68,18,28,123286302,2024-06-18,Sent
69,32,90,202944690,2024-07-13,Sent
70,33,85,252455809,2024-04-17,Sent
71,13,53,124972731,2024-11-05,Sent
72,20,58,206968483,2024-03-01,Sent
73,16,94,93017857,2024-04-04,Sent
74,15,98,83643352,2024-04-15,Sent
75,6,37,111992775,2024-09-16,Sent
76,20,39,202140747,2024-01-23,Sent
77,21,53,157902328,2024-04-01,Sent
78,2,52,201762184,2024-04-27,Sent
79,1,73,181831141,2024-11-19,Sent
80,5,37,117137656,2024-05-18,Sent
81,11,50,135872690,2024-04-26,Sent
82,24,48,247919678,2024-05-19,Sent
83,37,33,175926296,2024-11-06,Sent
84,11,14,138011764,2024-03-03,Sent
85,22,89,210149888,2024-01-14,Sent
86,10,92,126216752,2023-12-14,Sent
87,2,62,229350472,2024-09-18,Sent
88,31,61,340386586,2023-12-28,Sent
89,21,56,160408675,2024-09-01,Sent
90,28,62,333924864,2024-04-27,Sent
91,19,7,96178423,2024-04-27,Sent
92,24,93,215749961,2024-11-14,Sent
93,37,32,159631483,2024-04-25,Sent
94,32,52,175226352,2024-10-11,Sent
95,21,92,184043656,2024-04-04,Sent
96,34,51,380655717,2024-01-16,Sent
97,32,1,189439108,2024-01-14,Sent
98,21,68,184939238,2024-06-29,Sent
99,14,81,96193238,2024-01-16,Sent
100,29,62,112175669,2024-02-02,Sent
